"Name","InvoiceId","InvoiceDate","Total","PreTotal","ComparingToLast"
Luís Gonçalves,98,"2022-03-11 00:00:00",3.98,,
Luís Gonçalves,121,"2022-06-13 00:00:00",3.96,3.98,-0.020000000000000018
Luís Gonçalves,143,"2022-09-15 00:00:00",5.94,3.96,1.9800000000000004
Luís Gonçalves,195,"2023-05-06 00:00:00",0.99,5.94,-4.95
Luís Gonçalves,316,"2024-10-27 00:00:00",1.98,0.99,0.99
Luís Gonçalves,327,"2024-12-07 00:00:00",13.86,1.98,11.879999999999999
Luís Gonçalves,382,"2025-08-07 00:00:00",8.91,13.86,-4.949999999999999
Leonie Köhler,1,"2021-01-01 00:00:00",1.98,,
Leonie Köhler,12,"2021-02-11 00:00:00",13.86,1.98,11.879999999999999
Leonie Köhler,67,"2021-10-12 00:00:00",8.91,13.86,-4.949999999999999
Leonie Köhler,196,"2023-05-19 00:00:00",1.98,8.91,-6.93
Leonie Köhler,219,"2023-08-21 00:00:00",3.96,1.98,1.98
Leonie Köhler,241,"2023-11-23 00:00:00",5.94,3.96,1.9800000000000004
Leonie Köhler,293,"2024-07-13 00:00:00",0.99,5.94,-4.95
François Tremblay,99,"2022-03-11 00:00:00",3.98,,
François Tremblay,110,"2022-04-21 00:00:00",13.86,3.98,9.879999999999999
François Tremblay,165,"2022-12-20 00:00:00",8.91,13.86,-4.949999999999999
François Tremblay,294,"2024-07-26 00:00:00",1.98,8.91,-6.93
François Tremblay,317,"2024-10-28 00:00:00",3.96,1.98,1.98
François Tremblay,339,"2025-01-30 00:00:00",5.94,3.96,1.9800000000000004
François Tremblay,391,"2025-09-20 00:00:00",0.99,5.94,-4.95
Bjørn Hansen,2,"2021-01-02 00:00:00",3.96,,
Bjørn Hansen,24,"2021-04-06 00:00:00",5.94,3.96,1.9800000000000004
Bjørn Hansen,76,"2021-11-25 00:00:00",0.99,5.94,-4.95
Bjørn Hansen,197,"2023-05-19 00:00:00",1.98,0.99,0.99
Bjørn Hansen,208,"2023-06-29 00:00:00",15.86,1.98,13.879999999999999
Bjørn Hansen,263,"2024-02-27 00:00:00",8.91,15.86,-6.949999999999999
Bjørn Hansen,392,"2025-10-03 00:00:00",1.98,8.91,-6.93
František Wichterlová,77,"2021-12-08 00:00:00",1.98,,
František Wichterlová,100,"2022-03-12 00:00:00",3.96,1.98,1.98
František Wichterlová,122,"2022-06-14 00:00:00",5.94,3.96,1.9800000000000004
František Wichterlová,174,"2023-02-02 00:00:00",0.99,5.94,-4.95
František Wichterlová,295,"2024-07-26 00:00:00",1.98,0.99,0.99
František Wichterlová,306,"2024-09-05 00:00:00",16.86,1.98,14.879999999999999
František Wichterlová,361,"2025-05-06 00:00:00",8.91,16.86,-7.949999999999999
Helena Holý,46,"2021-07-11 00:00:00",8.91,,
Helena Holý,175,"2023-02-15 00:00:00",1.98,8.91,-6.93
Helena Holý,198,"2023-05-20 00:00:00",3.96,1.98,1.98
Helena Holý,220,"2023-08-22 00:00:00",5.94,3.96,1.9800000000000004
Helena Holý,272,"2024-04-11 00:00:00",0.99,5.94,-4.95
Helena Holý,393,"2025-10-03 00:00:00",1.98,0.99,0.99
Helena Holý,404,"2025-11-13 00:00:00",25.86,1.98,23.88
Astrid Gruber,78,"2021-12-08 00:00:00",1.98,,
Astrid Gruber,89,"2022-01-18 00:00:00",18.86,1.98,16.88
Astrid Gruber,144,"2022-09-18 00:00:00",8.91,18.86,-9.95
Astrid Gruber,273,"2024-04-24 00:00:00",1.98,8.91,-6.93
Astrid Gruber,296,"2024-07-27 00:00:00",3.96,1.98,1.98
Astrid Gruber,318,"2024-10-29 00:00:00",5.94,3.96,1.9800000000000004
Astrid Gruber,370,"2025-06-19 00:00:00",0.99,5.94,-4.95
Daan Peeters,3,"2021-01-03 00:00:00",5.94,,
Daan Peeters,55,"2021-08-24 00:00:00",0.99,5.94,-4.95
Daan Peeters,176,"2023-02-15 00:00:00",1.98,0.99,0.99
Daan Peeters,187,"2023-03-28 00:00:00",13.86,1.98,11.879999999999999
Daan Peeters,242,"2023-11-26 00:00:00",8.91,13.86,-4.949999999999999
Daan Peeters,371,"2025-07-02 00:00:00",1.98,8.91,-6.93
Daan Peeters,394,"2025-10-04 00:00:00",3.96,1.98,1.98
Kara Nielsen,56,"2021-09-06 00:00:00",1.98,,
Kara Nielsen,79,"2021-12-09 00:00:00",3.96,1.98,1.98
Kara Nielsen,101,"2022-03-13 00:00:00",5.94,3.96,1.9800000000000004
Kara Nielsen,153,"2022-11-01 00:00:00",0.99,5.94,-4.95
Kara Nielsen,274,"2024-04-24 00:00:00",1.98,0.99,0.99
Kara Nielsen,285,"2024-06-04 00:00:00",13.86,1.98,11.879999999999999
Kara Nielsen,340,"2025-02-02 00:00:00",8.91,13.86,-4.949999999999999
Eduardo Martins,25,"2021-04-09 00:00:00",8.91,,
Eduardo Martins,154,"2022-11-14 00:00:00",1.98,8.91,-6.93
Eduardo Martins,177,"2023-02-16 00:00:00",3.96,1.98,1.98
Eduardo Martins,199,"2023-05-21 00:00:00",5.94,3.96,1.9800000000000004
Eduardo Martins,251,"2024-01-09 00:00:00",0.99,5.94,-4.95
Eduardo Martins,372,"2025-07-02 00:00:00",1.98,0.99,0.99
Eduardo Martins,383,"2025-08-12 00:00:00",13.86,1.98,11.879999999999999
Alexandre Rocha,57,"2021-09-06 00:00:00",1.98,,
Alexandre Rocha,68,"2021-10-17 00:00:00",13.86,1.98,11.879999999999999
Alexandre Rocha,123,"2022-06-17 00:00:00",8.91,13.86,-4.949999999999999
Alexandre Rocha,252,"2024-01-22 00:00:00",1.98,8.91,-6.93
Alexandre Rocha,275,"2024-04-25 00:00:00",3.96,1.98,1.98
Alexandre Rocha,297,"2024-07-28 00:00:00",5.94,3.96,1.9800000000000004
Alexandre Rocha,349,"2025-03-18 00:00:00",0.99,5.94,-4.95
Roberto Almeida,34,"2021-05-23 00:00:00",0.99,,
Roberto Almeida,155,"2022-11-14 00:00:00",1.98,0.99,0.99
Roberto Almeida,166,"2022-12-25 00:00:00",13.86,1.98,11.879999999999999
Roberto Almeida,221,"2023-08-25 00:00:00",8.91,13.86,-4.949999999999999
Roberto Almeida,350,"2025-03-31 00:00:00",1.98,8.91,-6.93
Roberto Almeida,373,"2025-07-03 00:00:00",3.96,1.98,1.98
Roberto Almeida,395,"2025-10-05 00:00:00",5.94,3.96,1.9800000000000004
Fernanda Ramos,35,"2021-06-05 00:00:00",1.98,,
Fernanda Ramos,58,"2021-09-07 00:00:00",3.96,1.98,1.98
Fernanda Ramos,80,"2021-12-10 00:00:00",5.94,3.96,1.9800000000000004
Fernanda Ramos,132,"2022-07-31 00:00:00",0.99,5.94,-4.95
Fernanda Ramos,253,"2024-01-22 00:00:00",1.98,0.99,0.99
Fernanda Ramos,264,"2024-03-03 00:00:00",13.86,1.98,11.879999999999999
Fernanda Ramos,319,"2024-11-01 00:00:00",8.91,13.86,-4.949999999999999
Mark Philips,4,"2021-01-06 00:00:00",8.91,,
Mark Philips,133,"2022-08-13 00:00:00",1.98,8.91,-6.93
Mark Philips,156,"2022-11-15 00:00:00",3.96,1.98,1.98
Mark Philips,178,"2023-02-17 00:00:00",5.94,3.96,1.9800000000000004
Mark Philips,230,"2023-10-08 00:00:00",0.99,5.94,-4.95
Mark Philips,351,"2025-03-31 00:00:00",1.98,0.99,0.99
Mark Philips,362,"2025-05-11 00:00:00",13.86,1.98,11.879999999999999
Jennifer Peterson,36,"2021-06-05 00:00:00",1.98,,
Jennifer Peterson,47,"2021-07-16 00:00:00",13.86,1.98,11.879999999999999
Jennifer Peterson,102,"2022-03-16 00:00:00",9.91,13.86,-3.9499999999999993
Jennifer Peterson,231,"2023-10-21 00:00:00",1.98,9.91,-7.93
Jennifer Peterson,254,"2024-01-23 00:00:00",3.96,1.98,1.98
Jennifer Peterson,276,"2024-04-26 00:00:00",5.94,3.96,1.9800000000000004
Jennifer Peterson,328,"2024-12-15 00:00:00",0.99,5.94,-4.95
Frank Harris,13,"2021-02-19 00:00:00",0.99,,
Frank Harris,134,"2022-08-13 00:00:00",1.98,0.99,0.99
Frank Harris,145,"2022-09-23 00:00:00",13.86,1.98,11.879999999999999
Frank Harris,200,"2023-05-24 00:00:00",8.91,13.86,-4.949999999999999
Frank Harris,329,"2024-12-28 00:00:00",1.98,8.91,-6.93
Frank Harris,352,"2025-04-01 00:00:00",3.96,1.98,1.98
Frank Harris,374,"2025-07-04 00:00:00",5.94,3.96,1.9800000000000004
Jack Smith,14,"2021-03-04 00:00:00",1.98,,
Jack Smith,37,"2021-06-06 00:00:00",3.96,1.98,1.98
Jack Smith,59,"2021-09-08 00:00:00",5.94,3.96,1.9800000000000004
Jack Smith,111,"2022-04-29 00:00:00",0.99,5.94,-4.95
Jack Smith,232,"2023-10-21 00:00:00",1.98,0.99,0.99
Jack Smith,243,"2023-12-01 00:00:00",13.86,1.98,11.879999999999999
Jack Smith,298,"2024-07-31 00:00:00",10.91,13.86,-2.9499999999999993
Michelle Brooks,112,"2022-05-12 00:00:00",1.98,,
Michelle Brooks,135,"2022-08-14 00:00:00",3.96,1.98,1.98
Michelle Brooks,157,"2022-11-16 00:00:00",5.94,3.96,1.9800000000000004
Michelle Brooks,209,"2023-07-07 00:00:00",0.99,5.94,-4.95
Michelle Brooks,330,"2024-12-28 00:00:00",1.98,0.99,0.99
Michelle Brooks,341,"2025-02-07 00:00:00",13.86,1.98,11.879999999999999
Michelle Brooks,396,"2025-10-08 00:00:00",8.91,13.86,-4.949999999999999
Tim Goyer,15,"2021-03-04 00:00:00",1.98,,
Tim Goyer,26,"2021-04-14 00:00:00",13.86,1.98,11.879999999999999
Tim Goyer,81,"2021-12-13 00:00:00",8.91,13.86,-4.949999999999999
Tim Goyer,210,"2023-07-20 00:00:00",1.98,8.91,-6.93
Tim Goyer,233,"2023-10-22 00:00:00",3.96,1.98,1.98
Tim Goyer,255,"2024-01-24 00:00:00",5.94,3.96,1.9800000000000004
Tim Goyer,307,"2024-09-13 00:00:00",1.99,5.94,-3.95
Dan Miller,113,"2022-05-12 00:00:00",1.98,,
Dan Miller,124,"2022-06-22 00:00:00",13.86,1.98,11.879999999999999
Dan Miller,179,"2023-02-20 00:00:00",8.91,13.86,-4.949999999999999
Dan Miller,308,"2024-09-26 00:00:00",3.98,8.91,-4.93
Dan Miller,331,"2024-12-29 00:00:00",3.96,3.98,-0.020000000000000018
